timestamp,"30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: market_cap-weighted (max_weight=1, min_volume=0)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: volume-weighted (max_weight=1, min_volume=0)",bitcoin
1420804800000,1602.34406917,210.623381759,9.46048043785,8.8891066096,29.0401997199,57.9361371704,31.5675744328,9.46048043785,8.8891066096,14.0331546261,197.946273451
1420891200000,1541.75837316,203.478772927,8.97800775893,8.61117902824,28.1389555255,55.4683815382,30.4952439007,8.97800775893,8.61117902824,13.5320590164,194.851770739
1420977600000,1512.0456533,199.356968908,8.8281493026,8.44399530346,27.4447084172,54.5533328886,29.8818892629,8.8281493026,8.44399530346,13.2456001425,192.960273378
1421064000000,1446.18444791,191.627131856,8.44238774746,8.00994746856,26.2819282653,52.3576333871,28.7249809831,8.44238774746,8.00994746856,12.681349818,188.000891837
1421150400000,1214.09433374,160.548479358,6.99074226481,5.67172046678,19.5410633873,44.3051737944,24.0685123731,6.99074226481,5.67172046678,9.66969092086,160.560714272
1421236800000,1016.72253327,133.980319753,5.55042976744,3.88524739807,14.0908509352,37.813161378,20.0873753596,5.55042976744,3.88524739807,7.19349925265,135.274084437
1421323200000,1137.15100331,149.368571496,6.14738780919,4.5955463415,16.4296971947,42.2940493255,22.3948262864,6.14738780919,4.5955463415,8.31763350392,147.639453924
1421409600000,1181.61873491,155.446046411,6.51703087759,4.7056427045,16.9333549058,43.6077630211,23.3057749117,6.51703087759,4.7056427045,8.58192987895,149.407966926
1421496000000,1070.93201632,141.693683107,5.8556173495,4.03157899101,14.7777340344,39.87454171,21.2449746215,5.8556173495,4.03157899101,7.55015299067,138.706932515
1421582400000,1133.83335779,149.971322544,6.15804550065,4.58660393325,16.3933227004,42.1895543898,22.4854874929,6.15804550065,4.58660393325,8.3106470743,148.254780564
1421668800000,1141.38351975,147.745915406,6.08681661886,4.53364425384,16.2579890884,41.979278703,22.1518279402,6.08681661886,4.53364425384,8.21781078482,147.398861265
